keyword,degree,betweenness
心,123,0.003191489361702128
口,68,0.001638109583882508
马,55,0.0011548358752275154
牛,27,0.00041737274838385744
狗,20,0.00021966986757045127
鸡,20,0.00026360384108454154
牛;马,13,0.00010983493378522564
鸡;狗,10,6.276281930584323e-05
发,10,5.64865373752589e-05
肉,8,1.8828845791752966e-05
驴,8,3.765769158350593e-05
嘴;舌,8,1.8828845791752966e-05
禽;兽,8,3.1381409652921614e-05
骥,8,3.765769158350593e-05
口;舌,8,3.1381409652921614e-05
犬;马,8,3.1381409652921614e-05
鸡;犬,7,2.510512772233729e-05
兽,7,2.510512772233729e-05
鹿,7,2.510512772233729e-05
鹰;虎,7,2.510512772233729e-05
犬,6,1.8828845791752966e-05
驴;马,5,9.414422895876483e-06
蝉,5,9.414422895876483e-06
鸳鸯,5,9.414422895876483e-06
臂,5,9.414422895876483e-06
猫;鼠,4,6.276281930584322e-06
驹,4,6.276281930584322e-06
马;牛,4,6.276281930584322e-06
心;腹,4,6.276281930584322e-06
心;肝,4,6.276281930584322e-06
心;骨,4,6.276281930584322e-06
须眉,3,0.0
牛;鸡,3,0.0
嘴,3,0.0
心;目,3,0.0
犬牙,3,0.0
口;笔,2,0.0
口;唇,2,0.0
口;指,2,0.0
口;耳,2,0.0
口;齿,2,0.0
口;足,2,0.0
腋,2,0.0
须髯,2,0.0
鹰;犬,2,0.0
鹰;燕;雀,2,0.0
鹰;鹗,2,0.0
鹰;鹞,2,0.0
蜂;蝶,2,0.0
鹰;狗,2,0.0
心;首,2,0.0
蜂,2,0.0
心;脾,2,0.0
心;胆,2,0.0
心;肠,2,0.0
肉;眼,2,0.0
发;眦,2,0.0
肉;皮,2,0.0
肘,2,0.0
心;手,2,0.0
膊,2,0.0
臂;指,2,0.0
肌;骨,2,0.0
肌;髓,2,0.0
髀;肉,2,0.0
鸟;兽,2,0.0
鹡鸰,2,0.0
鲸;虎,2,0.0
牛;狗,2,0.0
兽;鸟,2,0.0
禽,2,0.0
畜,2,0.0
蚌;鹬,2,0.0
蛛,2,0.0
蛛;马,2,0.0
驴;狗,2,0.0
獐;鼠,2,0.0
驼,2,0.0
猫;虎,2,0.0
鸮;鹂,2,0.0
牛;骥,2,0.0
凫;雀,2,0.0
鹜,2,0.0
鹿;马,2,0.0
牛;蛇,2,0.0
狗;鼠,2,0.0
马;蝉,2,0.0
车;马,2,0.0
狗;彘,2,0.0
狗;鸡,2,0.0
骐骥,2,0.0
马;骨,2,0.0
犬;鸡,2,0.0
狗;马,2,0.0
犬;鹰,2,0.0
蝉;龟,2,0.0
猪,2,0.0
彘,2,0.0
豕;蛇,2,0.0
蛙;蝉,2,0.0
猪;狗,2,0.0
豚;鱼,2,0.0
鸡;虫,2,0.0
鸡;牛,2,0.0
鸡;鹜,2,0.0
卵;鸡,2,0.0
鸡;龟,2,0.0
鸡;猴,2,0.0
