mot_clef,count
心,113
口,58
马,46
牛,19
狗,14
鸡,12
牛;马,7
肉,6
发,6
嘴;舌,6
鸡;狗,5
口;舌,5
禽;兽,5
犬;马,5
驴,4
鹰;虎,4
鸡;犬,4
兽,4
骥,4
鹿,4
驴;马,3
犬,3
蝉,3
鸳鸯,3
臂,3
猫;鼠,2
牛;鸡,2
犬牙,2
心;骨,2
心;腹,2
心;目,2
马;牛,2
驹,2
嘴,2
心;肝,2
须眉,2
口;笔,1
口;唇,1
口;指,1
口;耳,1
口;齿,1
口;足,1
腋,1
须髯,1
鹰;犬,1
鹰;燕;雀,1
鹰;鹗,1
鹰;鹞,1
蜂;蝶,1
鹰;狗,1
心;首,1
蜂,1
心;脾,1
心;胆,1
心;肠,1
肉;眼,1
发;眦,1
肉;皮,1
肘,1
心;手,1
膊,1
臂;指,1
肌;骨,1
肌;髓,1
髀;肉,1
鸟;兽,1
鹡鸰,1
鲸;虎,1
牛;狗,1
兽;鸟,1
禽,1
畜,1
蚌;鹬,1
蛛,1
蛛;马,1
驴;狗,1
獐;鼠,1
驼,1
猫;虎,1
鸮;鹂,1
牛;骥,1
凫;雀,1
鹜,1
鹿;马,1
牛;蛇,1
狗;鼠,1
马;蝉,1
车;马,1
狗;彘,1
狗;鸡,1
骐骥,1
马;骨,1
犬;鸡,1
狗;马,1
犬;鹰,1
蝉;龟,1
猪,1
彘,1
豕;蛇,1
蛙;蝉,1
猪;狗,1
豚;鱼,1
鸡;虫,1
鸡;牛,1
鸡;鹜,1
卵;鸡,1
鸡;龟,1
鸡;猴,1
