,alimentation,apparence,autre,capacité,cognition,comportement,désir,langage,morale,problème,quantité_valeur,social,temps_espace,émotion,état_physique
alimentation,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
apparence,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0
autre,1,1,26,1,4,4,1,0,0,0,1,0,1,1,1
capacité,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0
cognition,0,0,7,1,5,0,0,0,0,0,0,0,0,0,0
comportement,0,0,10,1,0,2,0,0,0,0,0,0,0,0,0
désir,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0
langage,0,1,2,1,0,1,0,1,0,0,0,0,0,1,0
morale,0,0,5,0,1,0,0,0,0,0,0,0,0,3,0
problème,0,0,4,1,0,0,0,1,0,1,0,0,0,0,0
quantité_valeur,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
social,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0
temps_espace,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
émotion,1,0,9,3,0,0,0,0,1,0,0,0,0,2,1
état_physique,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0
