keyword,degree,in_degree,out_degree,betweenness
œil,12,6,6,0.003379371143109022
tête,10,5,5,0.0023508668821627977
main,10,7,3,0.0013223626212165737
cœur,7,3,4,0.0008815750808110492
rat,5,2,3,0.0004407875404055246
yeux,5,2,3,0.0002938583602703497
pied,5,3,2,0.0
bras,4,1,3,0.0
corps,4,1,3,0.0
poule,4,1,3,0.0
visage,3,1,2,0.0
bourrique,3,1,2,0.0
chien,3,2,1,0.0
loup,3,1,2,0.0
oiseaux,3,1,2,0.0
oiseau,3,1,2,0.0
aile,3,1,2,0.0
poisson,3,1,2,0.0
chair,2,1,1,0.0
talon,2,1,1,0.0
cochon,2,1,1,0.0
fourmi,2,1,1,0.0
bouc,2,1,1,0.0
brebis,2,1,1,0.0
ailes,2,1,1,0.0
