keyword,degree_all,in_degree_all,out_degree_all,betweenness_all,degree_attested,in_degree_attested,out_degree_attested,betweenness_attested
tête,60,46,14,0.0006124689623483463,10.0,5.0,5.0,0.0023508668821627977
cœur,55,44,11,0.00043629439157366417,7.0,3.0,4.0,0.0008815750808110492
nez,37,26,11,0.0002650902632346314,0.0,0.0,0.0,0.0
pied,37,26,11,0.00025956754941724324,5.0,3.0,2.0,0.0
œil,33,22,11,0.00022090855269552617,12.0,6.0,6.0,0.003379371143109022
yeux,33,22,11,0.00020875858229727222,5.0,2.0,3.0,0.0002938583602703497
main,32,24,8,0.0001612632434677341,10.0,7.0,3.0,0.0013223626212165737
dents,30,17,13,0.0002043404112433617,0.0,0.0,0.0,0.0
chien,27,17,10,0.00015463598688686831,3.0,2.0,1.0,0.0
peau,26,16,10,0.0001430382878703532,0.0,0.0,0.0,0.0
dos,24,17,7,0.00010161793423994204,0.0,0.0,0.0,0.0
chat,23,13,10,0.0001148724474016736,0.0,0.0,0.0,0.0
doigts,21,11,10,9.830430594950915e-05,0.0,0.0,0.0,0.0
oreille,21,12,9,9.002023522342691e-05,0.0,0.0,0.0,0.0
cheval,20,12,8,8.394525002429994e-05,0.0,0.0,0.0,0.0
cul,19,11,8,7.51089079164789e-05,0.0,0.0,0.0,0.0
mains,17,11,6,5.301805264692628e-05,0.0,0.0,0.0,0.0
doigt,17,11,6,5.191350988344865e-05,0.0,0.0,0.0,0.0
coq,15,8,7,4.63907960660605e-05,0.0,0.0,0.0,0.0
loup,15,8,7,4.528625330258287e-05,3.0,1.0,2.0,0.0
mouche,15,9,6,4.197262501214997e-05,0.0,0.0,0.0,0.0
bras,15,10,5,3.755445395823945e-05,4.0,1.0,3.0,0.0
bouche,14,7,7,3.976353948519471e-05,0.0,0.0,0.0,0.0
poil,14,8,6,3.755445395823945e-05,0.0,0.0,0.0,0.0
canard,14,8,6,3.755445395823945e-05,0.0,0.0,0.0,0.0
pieds,14,9,5,3.424082566780656e-05,0.0,0.0,0.0,0.0
âne,14,9,5,3.3136282904328926e-05,0.0,0.0,0.0,0.0
cochon,14,9,5,3.0927197377373665e-05,2.0,1.0,1.0,0.0
cheveux,13,7,6,3.2031740140851296e-05,0.0,0.0,0.0,0.0
corps,12,5,7,2.650902632346314e-05,4.0,1.0,3.0,0.0
oiseau,12,7,5,2.540448355998551e-05,3.0,1.0,2.0,0.0
cou,11,6,5,2.2090855269552615e-05,0.0,0.0,0.0,0.0
oreilles,11,6,5,2.0986312506074985e-05,0.0,0.0,0.0,0.0
bec,10,5,5,1.7672684215642094e-05,0.0,0.0,0.0,0.0
jambes,10,5,5,1.6568141452164463e-05,0.0,0.0,0.0,0.0
poisson,10,6,4,1.6568141452164463e-05,3.0,1.0,2.0,0.0
ventre,10,4,6,1.6015870070425648e-05,0.0,0.0,0.0,0.0
estomac,10,6,4,1.43590559252092e-05,0.0,0.0,0.0,0.0
poule,10,6,4,1.325451316173157e-05,4.0,1.0,3.0,0.0
langue,10,7,3,8.836342107821047e-06,0.0,0.0,0.0,0.0
ailes,9,4,5,1.43590559252092e-05,2.0,1.0,1.0,0.0
couilles,9,4,5,1.325451316173157e-05,0.0,0.0,0.0,0.0
os,9,4,5,1.325451316173157e-05,0.0,0.0,0.0,0.0
bœuf,9,4,5,1.214997039825394e-05,0.0,0.0,0.0,0.0
dalle,9,4,5,9.940884871298677e-06,0.0,0.0,0.0,0.0
sang,9,6,3,9.940884871298677e-06,0.0,0.0,0.0,0.0
lapin,8,4,4,1.1045427634776308e-05,0.0,0.0,0.0,0.0
coude,8,4,4,9.940884871298677e-06,0.0,0.0,0.0,0.0
cheveu,8,4,4,8.836342107821047e-06,0.0,0.0,0.0,0.0
jambe,8,5,3,8.836342107821047e-06,0.0,0.0,0.0,0.0
bourrique,8,3,5,8.836342107821047e-06,3.0,1.0,2.0,0.0
vache,8,5,3,7.1795279626046e-06,0.0,0.0,0.0,0.0
rat,7,3,4,7.731799344343416e-06,5.0,2.0,3.0,0.0004407875404055246
cheville,7,3,4,6.627256580865785e-06,0.0,0.0,0.0,0.0
bête,7,3,4,6.627256580865785e-06,0.0,0.0,0.0,0.0
pou,7,3,4,6.627256580865785e-06,0.0,0.0,0.0,0.0
carpe,7,3,4,5.522713817388154e-06,0.0,0.0,0.0,0.0
fesses,6,3,3,5.522713817388154e-06,0.0,0.0,0.0,0.0
gorge,6,3,3,5.522713817388154e-06,0.0,0.0,0.0,0.0
dent,6,3,3,4.418171053910523e-06,0.0,0.0,0.0,0.0
grue,6,3,3,4.418171053910523e-06,0.0,0.0,0.0,0.0
mouches,6,3,3,4.418171053910523e-06,0.0,0.0,0.0,0.0
oie,6,3,3,4.418171053910523e-06,0.0,0.0,0.0,0.0
singe,6,3,3,4.418171053910523e-06,0.0,0.0,0.0,0.0
visage,6,2,4,3.3136282904328925e-06,3.0,1.0,2.0,0.0
pouce,6,2,4,3.3136282904328925e-06,0.0,0.0,0.0,0.0
cochons,6,3,3,3.3136282904328925e-06,0.0,0.0,0.0,0.0
poules,6,2,4,3.3136282904328925e-06,0.0,0.0,0.0,0.0
mouton,6,4,2,3.3136282904328925e-06,0.0,0.0,0.0,0.0
nerfs,6,3,3,2.2090855269552617e-06,0.0,0.0,0.0,0.0
aile,6,3,3,2.2090855269552617e-06,3.0,1.0,2.0,0.0
gueule,5,2,3,2.2090855269552617e-06,0.0,0.0,0.0,0.0
épaules,5,2,3,2.2090855269552617e-06,0.0,0.0,0.0,0.0
face,5,2,3,2.2090855269552617e-06,0.0,0.0,0.0,0.0
flanc,5,2,3,2.2090855269552617e-06,0.0,0.0,0.0,0.0
taureau,5,2,3,2.2090855269552617e-06,0.0,0.0,0.0,0.0
vaches,5,2,3,2.2090855269552617e-06,0.0,0.0,0.0,0.0
éléphant,5,2,3,2.2090855269552617e-06,0.0,0.0,0.0,0.0
fourmis,5,2,3,2.2090855269552617e-06,0.0,0.0,0.0,0.0
moutons,5,2,3,2.2090855269552617e-06,0.0,0.0,0.0,0.0
moineau,5,2,3,2.2090855269552617e-06,0.0,0.0,0.0,0.0
échine,5,2,3,1.1045427634776308e-06,0.0,0.0,0.0,0.0
ongles,5,2,3,1.1045427634776308e-06,0.0,0.0,0.0,0.0
alouettes,5,2,3,1.1045427634776308e-06,0.0,0.0,0.0,0.0
puce,5,2,3,5.522713817388154e-07,0.0,0.0,0.0,0.0
mine,5,2,3,0.0,0.0,0.0,0.0,0.0
chiens,5,4,1,0.0,0.0,0.0,0.0,0.0
barbe,4,2,2,1.1045427634776308e-06,0.0,0.0,0.0,0.0
chair,4,2,2,1.1045427634776308e-06,2.0,1.0,1.0,0.0
cuisse,4,2,2,1.1045427634776308e-06,0.0,0.0,0.0,0.0
reins,4,2,2,1.1045427634776308e-06,0.0,0.0,0.0,0.0
bile,4,2,2,1.1045427634776308e-06,0.0,0.0,0.0,0.0
bosse,4,2,2,1.1045427634776308e-06,0.0,0.0,0.0,0.0
aigle,4,2,2,1.1045427634776308e-06,0.0,0.0,0.0,0.0
chats,4,2,2,1.1045427634776308e-06,0.0,0.0,0.0,0.0
chèvre,4,2,2,1.1045427634776308e-06,0.0,0.0,0.0,0.0
coudes,4,2,2,0.0,0.0,0.0,0.0,0.0
joues,4,1,3,0.0,0.0,0.0,0.0,0.0
babines,4,1,3,0.0,0.0,0.0,0.0,0.0
sourcils,4,1,3,0.0,0.0,0.0,0.0,0.0
chameau,4,1,3,0.0,0.0,0.0,0.0,0.0
crabe,4,1,3,0.0,0.0,0.0,0.0,0.0
écrevisse,4,1,3,0.0,0.0,0.0,0.0,0.0
guêpes,4,1,3,0.0,0.0,0.0,0.0,0.0
poissons,4,1,3,0.0,0.0,0.0,0.0,0.0
puces,4,1,3,0.0,0.0,0.0,0.0,0.0
renard,4,2,2,0.0,0.0,0.0,0.0,0.0
couleuvre,4,1,3,0.0,0.0,0.0,0.0,0.0
vipère,4,1,3,0.0,0.0,0.0,0.0,0.0
chignon,3,1,2,0.0,0.0,0.0,0.0,0.0
chevilles,3,1,2,0.0,0.0,0.0,0.0,0.0
front,3,1,2,0.0,0.0,0.0,0.0,0.0
genoux,3,1,2,0.0,0.0,0.0,0.0,0.0
menton,3,1,2,0.0,0.0,0.0,0.0,0.0
orteils,3,1,2,0.0,0.0,0.0,0.0,0.0
pouces,3,1,2,0.0,0.0,0.0,0.0,0.0
taille,3,1,2,0.0,0.0,0.0,0.0,0.0
talons,3,1,2,0.0,0.0,0.0,0.0,0.0
cervelle,3,1,2,0.0,0.0,0.0,0.0,0.0
têtes,3,1,2,0.0,0.0,0.0,0.0,0.0
veines,3,1,2,0.0,0.0,0.0,0.0,0.0
nombril,3,1,2,0.0,0.0,0.0,0.0,0.0
vessies,3,1,2,0.0,0.0,0.0,0.0,0.0
mule,3,1,2,0.0,0.0,0.0,0.0,0.0
autruche,3,2,1,0.0,0.0,0.0,0.0,0.0
baleine,3,1,2,0.0,0.0,0.0,0.0,0.0
bécasse,3,1,2,0.0,0.0,0.0,0.0,0.0
bœufs,3,2,1,0.0,0.0,0.0,0.0,0.0
veau,3,1,2,0.0,0.0,0.0,0.0,0.0
chatte,3,1,2,0.0,0.0,0.0,0.0,0.0
corneilles,3,1,2,0.0,0.0,0.0,0.0,0.0
crabes,3,1,2,0.0,0.0,0.0,0.0,0.0
crocodile,3,1,2,0.0,0.0,0.0,0.0,0.0
escargot,3,1,2,0.0,0.0,0.0,0.0,0.0
girafe,3,1,2,0.0,0.0,0.0,0.0,0.0
grenouille,3,1,2,0.0,0.0,0.0,0.0,0.0
guêpe,3,1,2,0.0,0.0,0.0,0.0,0.0
lézard,3,1,2,0.0,0.0,0.0,0.0,0.0
lion,3,1,2,0.0,0.0,0.0,0.0,0.0
linotte,3,1,2,0.0,0.0,0.0,0.0,0.0
oiseaux,3,1,2,0.0,3.0,1.0,2.0,0.0
roue,3,1,2,0.0,0.0,0.0,0.0,0.0
plumes,3,1,2,0.0,0.0,0.0,0.0,0.0
caquet,3,1,2,0.0,0.0,0.0,0.0,0.0
sansonnet,3,1,2,0.0,0.0,0.0,0.0,0.0
ergots,3,1,2,0.0,0.0,0.0,0.0,0.0
paon,3,1,2,0.0,0.0,0.0,0.0,0.0
pie,3,1,2,0.0,0.0,0.0,0.0,0.0
anguille,3,1,2,0.0,0.0,0.0,0.0,0.0
serpent,3,1,2,0.0,0.0,0.0,0.0,0.0
teigne,3,1,2,0.0,0.0,0.0,0.0,0.0
tortue,3,1,2,0.0,0.0,0.0,0.0,0.0
zèbre,3,1,2,0.0,0.0,0.0,0.0,0.0
cil,2,1,1,0.0,0.0,0.0,0.0,0.0
côtes,2,1,1,0.0,0.0,0.0,0.0,0.0
foie,2,1,1,0.0,0.0,0.0,0.0,0.0
genou,2,1,1,0.0,0.0,0.0,0.0,0.0
lèvres,2,1,1,0.0,0.0,0.0,0.0,0.0
ongle,2,1,1,0.0,0.0,0.0,0.0,0.0
talon,2,1,1,0.0,2.0,1.0,1.0,0.0
crâne,2,1,1,0.0,0.0,0.0,0.0,0.0
araignée,2,1,1,0.0,0.0,0.0,0.0,0.0
pourceaux,2,1,1,0.0,0.0,0.0,0.0,0.0
dindon,2,1,1,0.0,0.0,0.0,0.0,0.0
fourmilière,2,1,1,0.0,0.0,0.0,0.0,0.0
fourmi,2,1,1,0.0,2.0,1.0,1.0,0.0
lièvre,2,1,1,0.0,0.0,0.0,0.0,0.0
loups,2,1,1,0.0,0.0,0.0,0.0,0.0
bouc,2,1,1,0.0,2.0,1.0,1.0,0.0
brebis,2,1,1,0.0,2.0,1.0,1.0,0.0
agneau,2,1,1,0.0,0.0,0.0,0.0,0.0
moineaux,2,1,1,0.0,0.0,0.0,0.0,0.0
patte,2,1,1,0.0,0.0,0.0,0.0,0.0
ours,2,1,1,0.0,0.0,0.0,0.0,0.0
anchois,2,1,1,0.0,0.0,0.0,0.0,0.0
sardines,2,1,1,0.0,0.0,0.0,0.0,0.0
fretin,2,1,1,0.0,0.0,0.0,0.0,0.0
poux,2,1,1,0.0,0.0,0.0,0.0,0.0
putois,2,1,1,0.0,0.0,0.0,0.0,0.0
souris,2,1,1,0.0,0.0,0.0,0.0,0.0
couleuvres,2,1,1,0.0,0.0,0.0,0.0,0.0
ver,2,1,1,0.0,0.0,0.0,0.0,0.0
vers,2,1,1,0.0,0.0,0.0,0.0,0.0
hannetons,2,1,1,0.0,0.0,0.0,0.0,0.0
