mot_clef,label,count
agneau,autre,1
aigle,autre,2
aile,autre,4
ailes,autre,3
alouettes,autre,2
anchois,autre,1
anguille,autre,1
araignée,autre,1
autruche,autre,2
babines,autre,1
baleine,autre,1
barbe,autre,2
bec,autre,5
bile,émotion,2
bosse,autre,2
bouc,autre,1
bouche,autre,7
bourrique,autre,3
bras,autre,10
brebis,autre,1
bécasse,autre,1
bête,autre,3
bœuf,autre,4
bœufs,autre,2
canard,autre,8
caquet,autre,1
carpe,autre,3
cervelle,autre,1
chair,autre,2
chameau,alimentation,1
chat,autre,13
chats,autre,2
chatte,autre,1
cheval,autre,12
cheveu,autre,4
cheveux,autre,6
cheville,autre,3
chevilles,autre,1
chien,autre,17
chiens,autre,4
chignon,autre,1
chèvre,autre,2
cil,autre,1
cochon,autre,9
cochons,autre,3
coq,autre,7
corneilles,autre,1
corps,autre,5
cou,autre,4
coude,autre,4
coudes,autre,2
couilles,autre,4
couleuvre,autre,1
couleuvres,autre,1
crabe,autre,1
crabes,autre,1
crocodile,autre,1
crâne,autre,1
cuisse,autre,2
cul,autre,9
côtes,autre,1
cœur,autre,38
dalle,autre,4
dent,autre,3
dents,autre,15
dindon,autre,1
doigt,autre,11
doigts,autre,8
dos,autre,17
ergots,autre,1
escargot,autre,1
estomac,autre,6
face,autre,2
fesses,autre,2
flanc,autre,2
foie,émotion,1
fourmi,autre,1
fourmilière,autre,1
fourmis,autre,2
fretin,autre,1
front,autre,1
genou,autre,1
genoux,autre,1
girafe,apparence,1
gorge,autre,2
grenouille,autre,1
grue,autre,3
gueule,autre,2
guêpe,autre,1
guêpes,autre,1
hannetons,autre,1
jambe,autre,5
jambes,autre,4
joues,alimentation,1
langue,autre,7
lapin,autre,3
linotte,autre,1
lion,autre,1
lièvre,autre,1
loup,autre,8
loups,autre,1
lèvres,autre,1
lézard,autre,1
main,autre,23
mains,autre,11
menton,apparence,1
mine,apparence,2
moineau,autre,2
moineaux,autre,1
mouche,autre,9
mouches,autre,3
mouton,autre,4
moutons,autre,2
mule,autre,1
nerfs,autre,3
nez,autre,26
nombril,autre,1
oie,autre,3
oiseau,autre,7
oiseaux,autre,1
ongle,autre,1
ongles,autre,2
oreille,autre,11
oreilles,autre,6
orteils,autre,1
os,apparence,2
ours,autre,1
paon,autre,1
patte,autre,1
peau,autre,16
pie,autre,1
pied,autre,26
pieds,autre,9
plumes,autre,1
poil,autre,8
poisson,autre,6
poissons,désir,1
pou,autre,3
pouce,autre,2
pouces,autre,1
poule,autre,6
poules,autre,2
pourceaux,autre,1
poux,autre,1
puce,cognition,2
puces,autre,1
putois,autre,1
rat,autre,2
reins,autre,2
renard,autre,2
roue,autre,1
sang,autre,5
sansonnet,autre,1
sardines,autre,1
serpent,autre,1
singe,autre,3
sourcils,apparence,1
souris,autre,1
taille,apparence,1
talon,autre,1
talons,autre,1
taureau,autre,2
teigne,autre,1
tortue,autre,1
tête,autre,41
têtes,autre,1
vache,autre,5
vaches,autre,2
veau,autre,1
veines,autre,1
ventre,autre,3
ver,autre,1
vers,autre,1
vessies,autre,1
vipère,autre,1
visage,autre,2
yeux,autre,19
zèbre,autre,1
âne,autre,9
échine,autre,2
écrevisse,autre,1
éléphant,autre,2
épaules,autre,2
œil,autre,21
